Date,ActualRevenue,OrderVolume,UnitsSold,PredictedRevenue,LowerBound,UpperBound,DataType
2024-01-26,52573.22,117.0,334.0,52573.22,52573.22,52573.22,Historical
2024-01-27,69321.0,116.0,295.0,69321.0,69321.0,69321.0,Historical
2024-01-28,69752.42,135.0,366.0,69752.42,69752.42,69752.42,Historical
2024-01-29,72402.84,123.0,362.0,72402.84,72402.84,72402.84,Historical
2024-01-30,67720.8,111.0,289.0,67720.8,67720.8,67720.8,Historical
2024-01-31,76013.65,129.0,355.0,76013.65,76013.65,76013.65,Historical
2024-02-01,61520.96,102.0,319.0,61520.96,61520.96,61520.96,Historical
2024-02-02,82712.16,136.0,384.0,82712.16,82712.16,82712.16,Historical
2024-02-03,86600.93000000001,134.0,363.0,86600.93000000001,86600.93000000001,86600.93000000001,Historical
2024-02-04,59964.45,97.0,263.0,59964.45,59964.45,59964.45,Historical
2024-02-05,69141.73,110.0,305.0,69141.73,69141.73,69141.73,Historical
2024-02-06,76824.39,120.0,328.0,76824.39,76824.39,76824.39,Historical
2024-02-07,46531.65,106.0,332.0,46531.65,46531.65,46531.65,Historical
2024-02-08,61831.72,110.0,274.0,61831.72,61831.72,61831.72,Historical
2024-02-09,47531.13,100.0,256.0,47531.13,47531.13,47531.13,Historical
2024-02-10,66173.59,108.0,310.0,66173.59,66173.59,66173.59,Historical
2024-02-11,62131.93,117.0,321.0,62131.93,62131.93,62131.93,Historical
2024-02-12,72798.83,129.0,335.0,72798.83,72798.83,72798.83,Historical
2024-02-13,59644.92,112.0,294.0,59644.92,59644.92,59644.92,Historical
2024-02-14,49525.3,118.0,328.0,49525.3,49525.3,49525.3,Historical
2024-02-15,58625.18,95.0,294.0,58625.18,58625.18,58625.18,Historical
2024-02-16,56914.68,111.0,297.0,56914.68,56914.68,56914.68,Historical
2024-02-17,65140.42,127.0,344.0,65140.42,65140.42,65140.42,Historical
2024-02-18,88194.26,131.0,373.0,88194.26,88194.26,88194.26,Historical
2024-02-19,49003.71,107.0,282.0,49003.71,49003.71,49003.71,Historical
2024-02-20,58435.55,89.0,222.0,58435.55,58435.55,58435.55,Historical
2024-02-21,91965.74,119.0,316.0,91965.74,91965.74,91965.74,Historical
2024-02-22,64492.47,99.0,279.0,64492.47,64492.47,64492.47,Historical
2024-02-23,70958.49,117.0,320.0,70958.49,70958.49,70958.49,Historical
2024-02-24,73611.53,132.0,366.0,73611.53,73611.53,73611.53,Historical
2024-02-25,74956.82,106.0,304.0,74956.82,74956.82,74956.82,Historical
2024-02-26,61637.0,118.0,305.0,61637.0,61637.0,61637.0,Historical
2024-02-27,62776.72,122.0,308.0,62776.72,62776.72,62776.72,Historical
2024-02-28,71019.95,111.0,302.0,71019.95,71019.95,71019.95,Historical
2024-02-29,74178.49,117.0,334.0,74178.49,74178.49,74178.49,Historical
2024-03-01,69705.21,97.0,267.0,69705.21,69705.21,69705.21,Historical
2024-03-02,52099.28,114.0,292.0,52099.28,52099.28,52099.28,Historical
2024-03-03,90905.48,153.0,394.0,90905.48,90905.48,90905.48,Historical
2024-03-04,90399.93,128.0,376.0,90399.93,90399.93,90399.93,Historical
2024-03-05,67945.88,126.0,363.0,67945.88,67945.88,67945.88,Historical
2024-03-06,66602.61,104.0,286.0,66602.61,66602.61,66602.61,Historical
2024-03-07,57409.92,115.0,323.0,57409.92,57409.92,57409.92,Historical
2024-03-08,70845.0,124.0,317.0,70845.0,70845.0,70845.0,Historical
2024-03-09,54275.06,124.0,357.0,54275.06,54275.06,54275.06,Historical
2024-03-10,77443.85,137.0,381.0,77443.85,77443.85,77443.85,Historical
2024-03-11,58876.72,99.0,282.0,58876.72,58876.72,58876.72,Historical
2024-03-12,57189.2,111.0,282.0,57189.2,57189.2,57189.2,Historical
2024-03-13,62584.75,122.0,330.0,62584.75,62584.75,62584.75,Historical
2024-03-14,64967.35,116.0,321.0,64967.35,64967.35,64967.35,Historical
2024-03-15,58621.979999999996,103.0,256.0,58621.979999999996,58621.979999999996,58621.979999999996,Historical
2024-03-16,89344.75,115.0,297.0,89344.75,89344.75,89344.75,Historical
2024-03-17,77712.32,134.0,388.0,77712.32,77712.32,77712.32,Historical
2024-03-18,92133.5,125.0,344.0,92133.5,92133.5,92133.5,Historical
2024-03-19,62562.3,114.0,326.0,62562.3,62562.3,62562.3,Historical
2024-03-20,74178.26,125.0,373.0,74178.26,74178.26,74178.26,Historical
2024-03-21,67447.34,128.0,339.0,67447.34,67447.34,67447.34,Historical
2024-03-22,62562.39,119.0,312.0,62562.39,62562.39,62562.39,Historical
2024-03-23,78097.44,131.0,337.0,78097.44,78097.44,78097.44,Historical
2024-03-24,76365.32,133.0,354.0,76365.32,76365.32,76365.32,Historical
2024-03-25,60606.65,115.0,304.0,60606.65,60606.65,60606.65,Historical
2024-03-26,65522.63,131.0,329.0,65522.63,65522.63,65522.63,Historical
2024-03-27,63654.65,131.0,323.0,63654.65,63654.65,63654.65,Historical
2024-03-28,64146.77,115.0,315.0,64146.77,64146.77,64146.77,Historical
2024-03-29,79092.98,126.0,342.0,79092.98,79092.98,79092.98,Historical
2024-03-30,81183.46,117.0,316.0,81183.46,81183.46,81183.46,Historical
2024-03-31,67069.5,111.0,306.0,67069.5,67069.5,67069.5,Historical
2024-04-01,66189.77,92.0,247.0,66189.77,66189.77,66189.77,Historical
2024-04-02,75313.75,108.0,313.0,75313.75,75313.75,75313.75,Historical
2024-04-03,71086.31,123.0,342.0,71086.31,71086.31,71086.31,Historical
2024-04-04,77244.99,111.0,286.0,77244.99,77244.99,77244.99,Historical
2024-04-05,73070.71,129.0,356.0,73070.71,73070.71,73070.71,Historical
2024-04-06,53408.28,102.0,279.0,53408.28,53408.28,53408.28,Historical
2024-04-07,59622.51,117.0,337.0,59622.51,59622.51,59622.51,Historical
2024-04-08,78695.17,137.0,353.0,78695.17,78695.17,78695.17,Historical
2024-04-09,67381.77,110.0,317.0,67381.77,67381.77,67381.77,Historical
2024-04-10,59544.57,110.0,287.0,59544.57,59544.57,59544.57,Historical
2024-04-11,69949.23,111.0,264.0,69949.23,69949.23,69949.23,Historical
2024-04-12,74904.48,132.0,352.0,74904.48,74904.48,74904.48,Historical
2024-04-13,65712.42,119.0,343.0,65712.42,65712.42,65712.42,Historical
2024-04-14,74285.8,131.0,357.0,74285.8,74285.8,74285.8,Historical
2024-04-15,83220.52,120.0,327.0,83220.52,83220.52,83220.52,Historical
2024-04-16,68718.25,116.0,312.0,68718.25,68718.25,68718.25,Historical
2024-04-17,46084.4,120.0,313.0,46084.4,46084.4,46084.4,Historical
2024-04-18,76240.16,104.0,272.0,76240.16,76240.16,76240.16,Historical
2024-04-19,44293.4,101.0,264.0,44293.4,44293.4,44293.4,Historical
2024-04-20,74346.26,121.0,350.0,74346.26,74346.26,74346.26,Historical
2024-04-21,62249.799999999996,127.0,330.0,62249.799999999996,62249.799999999996,62249.799999999996,Historical
2024-04-22,54181.2,114.0,324.0,54181.2,54181.2,54181.2,Historical
2024-04-23,69697.76,125.0,334.0,69697.76,69697.76,69697.76,Historical
2024-04-24,61209.01,109.0,264.0,61209.01,61209.01,61209.01,Historical
2024-04-25,75265.31999999999,137.0,378.0,75265.31999999999,75265.31999999999,75265.31999999999,Historical
2024-04-26,79844.51,139.0,350.0,79844.51,79844.51,79844.51,Historical
2024-04-27,62469.85,134.0,367.0,62469.85,62469.85,62469.85,Historical
2024-04-28,64247.81,117.0,289.0,64247.81,64247.81,64247.81,Historical
2024-04-29,56895.03,105.0,295.0,56895.03,56895.03,56895.03,Historical
2024-04-30,59895.61,116.0,316.0,59895.61,59895.61,59895.61,Historical
2024-05-01,61786.21,100.0,266.0,61786.21,61786.21,61786.21,Historical
2024-05-02,76772.36,121.0,319.0,76772.36,76772.36,76772.36,Historical
2024-05-03,69351.62,138.0,368.0,69351.62,69351.62,69351.62,Historical
2024-05-04,75957.86,123.0,316.0,75957.86,75957.86,75957.86,Historical
2024-05-05,70858.51,125.0,336.0,70858.51,70858.51,70858.51,Historical
2024-05-06,77798.13,107.0,282.0,77798.13,77798.13,77798.13,Historical
2024-05-07,65598.74,111.0,267.0,65598.74,65598.74,65598.74,Historical
2024-05-08,49378.31,106.0,246.0,49378.31,49378.31,49378.31,Historical
2024-05-09,91349.88,121.0,329.0,91349.88,91349.88,91349.88,Historical
2024-05-10,53832.61,104.0,263.0,53832.61,53832.61,53832.61,Historical
2024-05-11,65148.68,117.0,342.0,65148.68,65148.68,65148.68,Historical
2024-05-12,66700.94,111.0,321.0,66700.94,66700.94,66700.94,Historical
2024-05-13,50315.51,95.0,254.0,50315.51,50315.51,50315.51,Historical
2024-05-14,62994.65,114.0,285.0,62994.65,62994.65,62994.65,Historical
2024-05-15,73019.3,108.0,308.0,73019.3,73019.3,73019.3,Historical
2024-05-16,72944.18,109.0,288.0,72944.18,72944.18,72944.18,Historical
2024-05-17,60152.02,114.0,335.0,60152.02,60152.02,60152.02,Historical
2024-05-18,68521.13,109.0,326.0,68521.13,68521.13,68521.13,Historical
2024-05-19,70920.82,112.0,294.0,70920.82,70920.82,70920.82,Historical
2024-05-20,64792.04,117.0,305.0,64792.04,64792.04,64792.04,Historical
2024-05-21,82746.25,142.0,385.0,82746.25,82746.25,82746.25,Historical
2024-05-22,69595.04,111.0,300.0,69595.04,69595.04,69595.04,Historical
2024-05-23,82427.51,114.0,308.0,82427.51,82427.51,82427.51,Historical
2024-05-24,64867.81,127.0,341.0,64867.81,64867.81,64867.81,Historical
2024-05-25,56279.45,118.0,302.0,56279.45,56279.45,56279.45,Historical
2024-05-26,62973.75,114.0,317.0,62973.75,62973.75,62973.75,Historical
2024-05-27,68831.24,118.0,326.0,68831.24,68831.24,68831.24,Historical
2024-05-28,72332.97,119.0,319.0,72332.97,72332.97,72332.97,Historical
2024-05-29,78857.06,109.0,302.0,78857.06,78857.06,78857.06,Historical
2024-05-30,67113.31,117.0,329.0,67113.31,67113.31,67113.31,Historical
2024-05-31,75466.04,115.0,289.0,75466.04,75466.04,75466.04,Historical
2024-06-01,66436.33,116.0,349.0,66436.33,66436.33,66436.33,Historical
2024-06-02,67117.05,116.0,303.0,67117.05,67117.05,67117.05,Historical
2024-06-03,51251.88,102.0,290.0,51251.88,51251.88,51251.88,Historical
2024-06-04,70184.23,121.0,307.0,70184.23,70184.23,70184.23,Historical
2024-06-05,68276.14,111.0,273.0,68276.14,68276.14,68276.14,Historical
2024-06-06,64435.38,115.0,332.0,64435.38,64435.38,64435.38,Historical
2024-06-07,79429.04,119.0,320.0,79429.04,79429.04,79429.04,Historical
2024-06-08,58914.68,111.0,289.0,58914.68,58914.68,58914.68,Historical
2024-06-09,51470.62,114.0,273.0,51470.62,51470.62,51470.62,Historical
2024-06-10,55333.78,106.0,304.0,55333.78,55333.78,55333.78,Historical
2024-06-11,64576.89,115.0,303.0,64576.89,64576.89,64576.89,Historical
2024-06-12,51826.4,111.0,314.0,51826.4,51826.4,51826.4,Historical
2024-06-13,66813.96,111.0,285.0,66813.96,66813.96,66813.96,Historical
2024-06-14,75429.34,133.0,417.0,75429.34,75429.34,75429.34,Historical
2024-06-15,61901.9,108.0,296.0,61901.9,61901.9,61901.9,Historical
2024-06-16,77155.13,106.0,287.0,77155.13,77155.13,77155.13,Historical
2024-06-17,63424.16,119.0,341.0,63424.16,63424.16,63424.16,Historical
2024-06-18,65991.23,115.0,306.0,65991.23,65991.23,65991.23,Historical
2024-06-19,68629.09,117.0,318.0,68629.09,68629.09,68629.09,Historical
2024-06-20,61383.05,110.0,297.0,61383.05,61383.05,61383.05,Historical
2024-06-21,57343.38,112.0,315.0,57343.38,57343.38,57343.38,Historical
2024-06-22,61531.590000000004,121.0,319.0,61531.590000000004,61531.590000000004,61531.590000000004,Historical
2024-06-23,54939.81,107.0,268.0,54939.81,54939.81,54939.81,Historical
2024-06-24,52103.65,111.0,295.0,52103.65,52103.65,52103.65,Historical
2024-06-25,70587.53,93.0,228.0,70587.53,70587.53,70587.53,Historical
2024-06-26,78610.86,135.0,354.0,78610.86,78610.86,78610.86,Historical
2024-06-27,62336.1,120.0,347.0,62336.1,62336.1,62336.1,Historical
2024-06-28,73694.97,132.0,357.0,73694.97,73694.97,73694.97,Historical
2024-06-29,53741.51,113.0,283.0,53741.51,53741.51,53741.51,Historical
2024-06-30,52141.14,81.0,243.0,52141.14,52141.14,52141.14,Historical
2024-07-01,38773.78,67.0,198.0,38773.78,38773.78,38773.78,Historical
2024-07-02,52712.23,87.0,245.0,52712.23,52712.23,52712.23,Historical
2024-07-03,45195.52,76.0,201.0,45195.52,45195.52,45195.52,Historical
2024-07-04,39966.37,68.0,205.0,39966.37,39966.37,39966.37,Historical
2024-07-05,34589.31,71.0,191.0,34589.31,34589.31,34589.31,Historical
2024-07-06,55267.55,80.0,235.0,55267.55,55267.55,55267.55,Historical
2024-07-07,33668.12,73.0,186.0,33668.12,33668.12,33668.12,Historical
2024-07-08,46066.47,80.0,202.0,46066.47,46066.47,46066.47,Historical
2024-07-09,38396.1,76.0,205.0,38396.1,38396.1,38396.1,Historical
2024-07-10,48919.479999999996,80.0,206.0,48919.479999999996,48919.479999999996,48919.479999999996,Historical
2024-07-11,52596.66,72.0,196.0,52596.66,52596.66,52596.66,Historical
2024-07-12,49515.66,88.0,252.0,49515.66,49515.66,49515.66,Historical
2024-07-13,42358.17,78.0,211.0,42358.17,42358.17,42358.17,Historical
2024-07-14,48062.78,88.0,242.0,48062.78,48062.78,48062.78,Historical
2024-07-15,43231.95,80.0,199.0,43231.95,43231.95,43231.95,Historical
2024-07-16,41915.51,73.0,189.0,41915.51,41915.51,41915.51,Historical
2024-07-17,48736.72,74.0,193.0,48736.72,48736.72,48736.72,Historical
2024-07-18,42356.25,80.0,212.0,42356.25,42356.25,42356.25,Historical
2024-07-19,41955.090000000004,80.0,222.0,41955.090000000004,41955.090000000004,41955.090000000004,Historical
2024-07-20,37231.59,62.0,148.0,37231.59,37231.59,37231.59,Historical
2024-07-21,45860.07,76.0,206.0,45860.07,45860.07,45860.07,Historical
2024-07-22,45030.16,68.0,184.0,45030.16,45030.16,45030.16,Historical
2024-07-23,48450.950000000004,70.0,201.0,48450.950000000004,48450.950000000004,48450.950000000004,Historical
2024-07-24,49519.91,82.0,214.0,49519.91,49519.91,49519.91,Historical
2024-07-25,34737.15,73.0,199.0,34737.15,34737.15,34737.15,Historical
2024-07-26,49492.42,69.0,161.0,49492.42,49492.42,49492.42,Historical
2024-07-27,46088.29,74.0,195.0,46088.29,46088.29,46088.29,Historical
2024-07-28,63563.55,87.0,238.0,63563.55,63563.55,63563.55,Historical
2024-07-29,46878.74,80.0,217.0,46878.74,46878.74,46878.74,Historical
2024-07-30,44001.38,84.0,240.0,44001.38,44001.38,44001.38,Historical
2024-07-31,53766.66,76.0,189.0,53766.66,53766.66,53766.66,Historical
2024-08-01,44724.45,74.0,195.0,44724.45,44724.45,44724.45,Historical
2024-08-02,49622.61,82.0,234.0,49622.61,49622.61,49622.61,Historical
2024-08-03,35717.3,65.0,185.0,35717.3,35717.3,35717.3,Historical
2024-08-04,39791.6,86.0,234.0,39791.6,39791.6,39791.6,Historical
2024-08-05,44191.700000000004,67.0,187.0,44191.700000000004,44191.700000000004,44191.700000000004,Historical
2024-08-06,30625.91,65.0,175.0,30625.91,30625.91,30625.91,Historical
2024-08-07,36993.34,69.0,205.0,36993.34,36993.34,36993.34,Historical
2024-08-08,48615.770000000004,69.0,189.0,48615.770000000004,48615.770000000004,48615.770000000004,Historical
2024-08-09,44291.32,74.0,207.0,44291.32,44291.32,44291.32,Historical
2024-08-10,57734.22,83.0,220.0,57734.22,57734.22,57734.22,Historical
2024-08-11,36956.11,70.0,193.0,36956.11,36956.11,36956.11,Historical
2024-08-12,49875.23,79.0,223.0,49875.23,49875.23,49875.23,Historical
2024-08-13,47223.27,66.0,184.0,47223.27,47223.27,47223.27,Historical
2024-08-14,50314.64,81.0,223.0,50314.64,50314.64,50314.64,Historical
2024-08-15,49403.04,91.0,259.0,49403.04,49403.04,49403.04,Historical
2024-08-16,44993.44,73.0,182.0,44993.44,44993.44,44993.44,Historical
2024-08-17,48729.619999999995,79.0,224.0,48729.619999999995,48729.619999999995,48729.619999999995,Historical
2024-08-18,31487.08,70.0,163.0,31487.08,31487.08,31487.08,Historical
2024-08-19,47399.01,91.0,220.0,47399.01,47399.01,47399.01,Historical
2024-08-20,57024.5,81.0,225.0,57024.5,57024.5,57024.5,Historical
2024-08-21,38546.87,71.0,192.0,38546.87,38546.87,38546.87,Historical
2024-08-22,39764.46,75.0,210.0,39764.46,39764.46,39764.46,Historical
2024-08-23,35804.17,82.0,249.0,35804.17,35804.17,35804.17,Historical
2024-08-24,44392.13,71.0,195.0,44392.13,44392.13,44392.13,Historical
2024-08-25,46665.17,71.0,196.0,46665.17,46665.17,46665.17,Historical
2024-08-26,45228.97,79.0,221.0,45228.97,45228.97,45228.97,Historical
2024-08-27,50679.62,78.0,229.0,50679.62,50679.62,50679.62,Historical
2024-08-28,46900.62,79.0,216.0,46900.62,46900.62,46900.62,Historical
2024-08-29,44745.64,81.0,230.0,44745.64,44745.64,44745.64,Historical
2024-08-30,37807.2,68.0,206.0,37807.2,37807.2,37807.2,Historical
2024-08-31,40588.770000000004,78.0,188.0,40588.770000000004,40588.770000000004,40588.770000000004,Historical
2024-09-01,47104.44,69.0,173.0,47104.44,47104.44,47104.44,Historical
2024-09-02,50297.07,72.0,185.0,50297.07,50297.07,50297.07,Historical
2024-09-03,67937.59,87.0,237.0,67937.59,67937.59,67937.59,Historical
2024-09-04,39152.520000000004,71.0,214.0,39152.520000000004,39152.520000000004,39152.520000000004,Historical
2024-09-05,47577.72,73.0,202.0,47577.72,47577.72,47577.72,Historical
2024-09-06,35810.73,72.0,198.0,35810.73,35810.73,35810.73,Historical
2024-09-07,45975.74,91.0,260.0,45975.74,45975.74,45975.74,Historical
2024-09-08,46615.24,78.0,212.0,46615.24,46615.24,46615.24,Historical
2024-09-09,50042.56,71.0,177.0,50042.56,50042.56,50042.56,Historical
2024-09-10,49847.88,80.0,211.0,49847.88,49847.88,49847.88,Historical
2024-09-11,49961.35,76.0,207.0,49961.35,49961.35,49961.35,Historical
2024-09-12,46927.71,82.0,227.0,46927.71,46927.71,46927.71,Historical
2024-09-13,40144.68,84.0,236.0,40144.68,40144.68,40144.68,Historical
2024-09-14,49064.18,82.0,225.0,49064.18,49064.18,49064.18,Historical
2024-09-15,60528.729999999996,83.0,221.0,60528.729999999996,60528.729999999996,60528.729999999996,Historical
2024-09-16,58847.81,88.0,236.0,58847.81,58847.81,58847.81,Historical
2024-09-17,38637.83,73.0,203.0,38637.83,38637.83,38637.83,Historical
2024-09-18,55966.95,79.0,202.0,55966.95,55966.95,55966.95,Historical
2024-09-19,39864.52,77.0,202.0,39864.52,39864.52,39864.52,Historical
2024-09-20,38227.23,81.0,208.0,38227.23,38227.23,38227.23,Historical
2024-09-21,34906.44,67.0,177.0,34906.44,34906.44,34906.44,Historical
2024-09-22,40358.3,78.0,196.0,40358.3,40358.3,40358.3,Historical
2024-09-23,41053.26,74.0,186.0,41053.26,41053.26,41053.26,Historical
2024-09-24,46542.96,69.0,185.0,46542.96,46542.96,46542.96,Historical
2024-09-25,47701.7,83.0,225.0,47701.7,47701.7,47701.7,Historical
2024-09-26,54959.45,86.0,235.0,54959.45,54959.45,54959.45,Historical
2024-09-27,66004.78,84.0,213.0,66004.78,66004.78,66004.78,Historical
2024-09-28,33047.88,74.0,194.0,33047.88,33047.88,33047.88,Historical
2024-09-29,46364.73,70.0,185.0,46364.73,46364.73,46364.73,Historical
2024-09-30,47079.01,78.0,228.0,47079.01,47079.01,47079.01,Historical
2024-10-01,54729.43,86.0,227.0,54729.43,54729.43,54729.43,Historical
2024-10-02,60830.62,91.0,228.0,60830.62,60830.62,60830.62,Historical
2024-10-03,46269.03,79.0,227.0,46269.03,46269.03,46269.03,Historical
2024-10-04,39955.14,77.0,235.0,39955.14,39955.14,39955.14,Historical
2024-10-05,38687.82,73.0,196.0,38687.82,38687.82,38687.82,Historical
2024-10-06,64121.47,92.0,275.0,64121.47,64121.47,64121.47,Historical
2024-10-07,40436.21,79.0,206.0,40436.21,40436.21,40436.21,Historical
2024-10-08,37161.94,60.0,168.0,37161.94,37161.94,37161.94,Historical
2024-10-09,46382.73,71.0,205.0,46382.73,46382.73,46382.73,Historical
2024-10-10,33764.81,73.0,202.0,33764.81,33764.81,33764.81,Historical
2024-10-11,54086.03,96.0,252.0,54086.03,54086.03,54086.03,Historical
2024-10-12,39521.0,70.0,205.0,39521.0,39521.0,39521.0,Historical
2024-10-13,30884.2,76.0,202.0,30884.2,30884.2,30884.2,Historical
2024-10-14,69153.56999999999,86.0,215.0,69153.56999999999,69153.56999999999,69153.56999999999,Historical
2024-10-15,48243.25,76.0,216.0,48243.25,48243.25,48243.25,Historical
2024-10-16,41571.26,85.0,225.0,41571.26,41571.26,41571.26,Historical
2024-10-17,40492.76,80.0,218.0,40492.76,40492.76,40492.76,Historical
2024-10-18,45305.69,91.0,220.0,45305.69,45305.69,45305.69,Historical
2024-10-19,52366.4,79.0,206.0,52366.4,52366.4,52366.4,Historical
2024-10-20,53189.84,73.0,208.0,53189.84,53189.84,53189.84,Historical
2024-10-21,50077.57,83.0,217.0,50077.57,50077.57,50077.57,Historical
2024-10-22,42124.46,74.0,211.0,42124.46,42124.46,42124.46,Historical
2024-10-23,43381.07,68.0,186.0,43381.07,43381.07,43381.07,Historical
2024-10-24,46670.13,84.0,242.0,46670.13,46670.13,46670.13,Historical
2024-10-25,35243.44,69.0,196.0,35243.44,35243.44,35243.44,Historical
2024-10-26,40630.26,79.0,218.0,40630.26,40630.26,40630.26,Historical
2024-10-27,40741.35,80.0,198.0,40741.35,40741.35,40741.35,Historical
2024-10-28,32977.74,59.0,174.0,32977.74,32977.74,32977.74,Historical
2024-10-29,51663.33,85.0,251.0,51663.33,51663.33,51663.33,Historical
2024-10-30,37977.14,69.0,202.0,37977.14,37977.14,37977.14,Historical
2024-10-31,49485.92,72.0,209.0,49485.92,49485.92,49485.92,Historical
2024-11-01,48311.39,91.0,254.0,48311.39,48311.39,48311.39,Historical
2024-11-02,45850.56,81.0,213.0,45850.56,45850.56,45850.56,Historical
2024-11-03,56648.75,82.0,216.0,56648.75,56648.75,56648.75,Historical
2024-11-04,35068.4,75.0,206.0,35068.4,35068.4,35068.4,Historical
2024-11-05,41812.12,68.0,193.0,41812.12,41812.12,41812.12,Historical
2024-11-06,57640.51,89.0,259.0,57640.51,57640.51,57640.51,Historical
2024-11-07,57348.12,105.0,298.0,57348.12,57348.12,57348.12,Historical
2024-11-08,56612.32,72.0,208.0,56612.32,56612.32,56612.32,Historical
2024-11-09,46191.96,87.0,248.0,46191.96,46191.96,46191.96,Historical
2024-11-10,51168.92,88.0,230.0,51168.92,51168.92,51168.92,Historical
2024-11-11,49713.89,74.0,210.0,49713.89,49713.89,49713.89,Historical
2024-11-12,43568.81,72.0,189.0,43568.81,43568.81,43568.81,Historical
2024-11-13,48072.37,72.0,186.0,48072.37,48072.37,48072.37,Historical
2024-11-14,46920.4,90.0,266.0,46920.4,46920.4,46920.4,Historical
2024-11-15,41369.6,88.0,230.0,41369.6,41369.6,41369.6,Historical
2024-11-16,28276.51,57.0,155.0,28276.51,28276.51,28276.51,Historical
2024-11-17,29167.77,60.0,164.0,29167.77,29167.77,29167.77,Historical
2024-11-18,53810.06,84.0,229.0,53810.06,53810.06,53810.06,Historical
2024-11-19,51048.97,60.0,147.0,51048.97,51048.97,51048.97,Historical
2024-11-20,37637.03,68.0,195.0,37637.03,37637.03,37637.03,Historical
2024-11-21,50843.25,71.0,202.0,50843.25,50843.25,50843.25,Historical
2024-11-22,37058.35,77.0,204.0,37058.35,37058.35,37058.35,Historical
2024-11-23,54557.11,85.0,226.0,54557.11,54557.11,54557.11,Historical
2024-11-24,58653.72,93.0,250.0,58653.72,58653.72,58653.72,Historical
2024-11-25,37344.87,67.0,193.0,37344.87,37344.87,37344.87,Historical
2024-11-26,47386.77,75.0,196.0,47386.77,47386.77,47386.77,Historical
2024-11-27,53257.21,70.0,192.0,53257.21,53257.21,53257.21,Historical
2024-11-28,48957.44,75.0,196.0,48957.44,48957.44,48957.44,Historical
2024-11-29,33771.52,66.0,175.0,33771.52,33771.52,33771.52,Historical
2024-11-30,45576.55,81.0,215.0,45576.55,45576.55,45576.55,Historical
2024-12-01,60808.08,78.0,231.0,60808.08,60808.08,60808.08,Historical
2024-12-02,48845.5,91.0,244.0,48845.5,48845.5,48845.5,Historical
2024-12-03,41651.05,76.0,209.0,41651.05,41651.05,41651.05,Historical
2024-12-04,40702.21,69.0,200.0,40702.21,40702.21,40702.21,Historical
2024-12-05,47575.58,81.0,223.0,47575.58,47575.58,47575.58,Historical
2024-12-06,43503.42,87.0,228.0,43503.42,43503.42,43503.42,Historical
2024-12-07,39505.97,67.0,155.0,39505.97,39505.97,39505.97,Historical
2024-12-08,57248.75,91.0,252.0,57248.75,57248.75,57248.75,Historical
2024-12-09,52322.950000000004,86.0,225.0,52322.950000000004,52322.950000000004,52322.950000000004,Historical
2024-12-10,52882.51,80.0,236.0,52882.51,52882.51,52882.51,Historical
2024-12-11,46705.71,76.0,231.0,46705.71,46705.71,46705.71,Historical
2024-12-12,77169.33,76.0,193.0,77169.33,77169.33,77169.33,Historical
2024-12-13,61654.619999999995,83.0,228.0,61654.619999999995,61654.619999999995,61654.619999999995,Historical
2024-12-14,45357.64,80.0,217.0,45357.64,45357.64,45357.64,Historical
2024-12-15,33714.58,61.0,164.0,33714.58,33714.58,33714.58,Historical
